1.36	2.48	1
3.18	4.46	1
7.72	3.52	1
7.13	2.43	1
7.04	-0.53	1
2.98	4.77	1
4.29	4.18	1
3.5	-1.47	1
6.03	-1.52	1
5.39	4.38	1
4.72	-1.39	1
5.93	3.65	1
4.08	4.85	1
1.88	3.94	1
6.69	3.4	1
1.65	1.13	1
4.92	-1.41	1
6.59	3.6	1
7.01	0.62	1
1.83	3.61	1
1.35	2.03	1
2.1	2.6	1
1.86	1.07	1
6.34	-0.28	1
3.09	-1.12	1
7.48	1.36	1
1.36	0.34	1
6.44	3.97	1
7.05	1.57	1
1.5	1.9	1
3.05	4.5	1
4.87	-1.19	1
7.49	1.51	1
7.54	1.09	1
7.32	1.68	1
3.24	4.44	1
6.84	3.35	1
1.48	1.12	1
5.24	-1	1
1.55	4.49	1
2.29	3.63	1
7.37	2.69	1
3.86	4.7	1
2.2	4.05	1
3.02	4.19	1
7.2	1.7	1
1.49	0.45	1
5.83	4.35	1
1.11	1.3	1
3.66	-1.14	1
2.36	-0.47	1
2.85	4.41	1
4.67	4.37	1
3.11	-0.79	1
2.71	3.85	1
1.45	1.86	1
1.44	3.74	1
3.26	4.71	1
7.1	-0.18	1
7.07	3.38	1
2.89	3.86	1
3.11	4.5	1
4.27	4.27	1
1.72	2.03	1
4.91	4.75	1
2.71	-0.46	1
4.91	4.73	1
7.5	2.92	1
7.53	2.2	1
6.97	0.13	1
4.33	4.97	1
5.97	-0.34	1
4.56	-1.13	1
2.32	3.56	1
1.19	1.66	1
5.01	5	1
3.19	-0.9	1
1.99	3.24	1
7.1	0.68	1
6.52	-0.52	1
2.88	4.44	1
1.09	2.01	1
2.99	-0.87	1
4.62	4.64	1
7.1	0.49	1
4.94	-0.85	1
7.19	2.6	1
2.5	3.3	1
2.43	-0.69	1
6.3	-0.21	1
1.82	2.77	1
5.4	-0.94	1
1.27	1.88	1
4.33	-0.87	1
5.87	4.04	1
4.78	4.58	1
5.7	-0.37	1
7.84	1.03	1
1.15	1.45	1
5.46	5.24	1
6.95	3.87	1
4.19	5.01	1
1.13	1.85	1
4.48	-1.25	1
1.59	0.86	1
3.18	4.56	1
1.57	1.94	1
7.1	1.53	1
4.28	5.22	1
6.11	4.39	1
7.49	1.63	1
6.12	-0.6	1
5.36	4.54	1
5.36	-1.16	1
1.42	2.26	1
3.09	-1.25	1
4.63	-1.73	1
7.67	2.09	1
5.9	-0.69	1
1.04	3.51	1
2.08	-0.38	1
4.79	-1.35	1
2.19	0.67	1
2.51	-0.24	1
1.39	0.93	1
3.06	-0.78	1
3.24	-0.94	1
5.14	5.27	1
1.21	2.72	1
2.87	-0.91	1
3.4	4.2	1
1.53	2.01	1
4.73	-1.59	1
1.28	0.18	1
6.22	3.43	1
0.89	1.27	1
6.25	4.23	1
1.52	1.96	1
3.21	-1.05	1
3.91	4.65	1
1.29	1.8	1
1.48	1.11	1
6.24	4.39	1
1.72	3.71	1
5.57	4.42	1
2.92	4.64	1
3.68	-1	1
2.99	4.07	1
2.65	3.64	1
4.54	-1.25	1
6.22	3.87	1
5.2	4.95	1
4.12	4.86	1
7.48	3.23	1
5.43	4.91	1
6.4	-1.33	1
2.03	4.3	1
5.15	4.02	1
5.63	-0.78	1
7.49	2.48	1
2.32	3.86	1
0.75	0.57	1
1.76	3.11	1
4.51	5.21	1
2.39	4.33	1
6.15	-1.08	1
6.23	4.13	1
3.38	5	1
2.82	-0.58	1
1.5	3.09	1
2.03	0.23	1
6.71	2.26	1
1.75	3.49	1
7.37	2.34	1
3.81	-0.48	1
2.41	-0.75	1
6.35	-0.5	1
5.99	4	1
5.59	4.57	1
5.68	-0.61	1
4.56	4.91	1
6.79	4.02	1
1.68	3.57	1
2.29	3.18	1
3.51	-1.07	1
5.46	-1.45	1
3.43	-0.95	1
6.52	-0.23	1
4.28	4.92	1
1.52	2.34	1
2.02	3.81	1
7.76	2.41	1
1.51	0.78	1
5.72	-1.08	1
3.35	3.72	1
5.02	4.61	1
6.87	-0.53	1
4.34	4.81	1
2.91	-0.07	1
5.76	4.78	1
1.78	3.8	1
3.74	4.47	1
1.46	3.04	1
7.47	2.78	1
2.74	-0.72	1
2.06	-0.37	1
3.62	4.28	1
2.38	-0.69	1
6.41	4.37	1
3.53	-1.06	1
3.88	-0.7	1
0.9	0.76	1
2.16	-0.28	1
2.07	-0.19	1
4.38	4.21	1
2.15	0.34	1
1.86	-0.15	1
2.79	-0.54	1
1.83	2.24	1
1.68	3.3	1
1.52	2.97	1
7.03	3.08	1
3.59	4.33	1
3.89	-1.18	1
3.65	-1.4	1
6.43	3.93	1
5.89	-1.21	1
2.56	0.06	1
6.91	3.49	1
5.45	-0.88	1
5.87	4.61	1
7.46	3.38	1
7.71	1.92	1
6	-1.16	1
6.27	3.48	1
6.69	-0.87	1
6.25	4.02	1
5.95	4.35	1
4.58	4.41	1
6.36	-1	1
6.78	0.49	1
6.46	-0.67	1
5.84	-0.47	1
1.38	0.91	1
7.28	1	1
7	0.18	1
6.88	0.28	1
0.98	0.71	1
3.44	0.63	2
3.13	0.61	2
3.21	0.63	2
2.99	0.73	2
3.18	0.6	2
3.26	0.77	2
3.02	0.74	2
3.2	0.77	2
3.34	0.65	2
3.22	0.67	2
3.11	0.64	2
3.11	0.61	2
3.37	0.65	2
3.14	0.77	2
3.36	0.74	2
3.24	0.65	2
3.22	0.76	2
3.2	0.74	2
